CARNES;Calorías;Proteínas;Lípidos;Hidratos de Carbono;Color;Peso;Precio US
Bistec de ternera;92;20,7;1;0,5;R;100;10
Buey semi graso;160;-;-;-;R;100;13
Cabrito;127;19,2;17;0,7;R;100;7
Cerdo carne magra;146;19,9;6,8;0;B;100;8
Cerdo carne grasa;398;14,5;37,3;0;B;100;8
Ciervo;120;20,3;3,7;0,6;B;100;6
Codorniz;162;25;6,8;0;B;100;6
Conejo;102-138;21,2;6,6;0;B;100;12
Cordero Lechal;105;21;2,4;0;R;100;8
Cordero (Pierna);98;17,1;3,3;0;R;100;7
Faisán;144;24,3;5,2;0;R;100;10
Hígado de cerdo;141;22,8;4,8;1,5;R;100;5
Higado de vacuno;129;21;4,4;0,9;R;100;5
Jabalí;107;21;2;0,4;B;100;6
Lacón;361;19,2;31,6;0;B;100;7
Liebre;126;22,8;3,2;0;B;100;7
Pato;288;15,9;24,9;0;R;100;7
Pavo pechuga;134;22;4,9;0,4;B;100;8
Pavo muslo;186;20,9;11,2;0,4;B;100;10
Perdiz;120;25;1,4;0,5;B;100;9
Pollo muslo;130;19,6;5,7;0;B;100;7
Pollo pechuga;108;22,4;2,1;0;B;100;7
Almeja;73;10,2;2,5;2,2;B;100;11
Anguila;264;11,8;23,7;0,1;B;100;11
Arenque;174;17,7;11,5;0;B;100;11
Atún fresco;158;21,5;8;0;B;100;4
Bacalao;122;29;0,7;0;B;100;5
Boquerón;96;16,8;2,6;1,5;B;100;6
Caballa;170;17;11,1;0;B;100;6
Calamar;68;12,6;1,7;0,7;B;100;13
Dorada;80;19,8;1,2;0;B;100;10
Gallo;78;16,2;0,9;1,2;B;100;10
Gamba;65;13,6;0,6;2,9;B;100;11
Langosta;88;16,2;1,9;1;B;100;13
Lenguado;82;16,9;1,7;0,8;B;100;12
Lubina;82;16,6;1,5;0,6;B;100;12
Lucio;81;18;0,6;0;B;100;11
Mejillones;66;11,7;2,7;3,4;B;100;15
Merluza;71;17;0,3;0;B;100;10
Mero;80;17,9;0,7;0,6;B;100;11
Pez espada;109;16,9;4,2;1;B;100;15
Pulpo;57;10,6;1;1,4;B;100;15
Rodaballo;81;16,3;1,3;1,2;B;100;10
Salmón;176;18,4;12;0;B;100;15
Salmonete;123;15,8;6,2;1,1;B;100;15
Sardina;124;15;4,4;1;B;100;6
Sepia;73;14;1,5;0,7;B;100;7
Trucha;96;-;-;-;B;100;15
Bistec de ternera;184;20,7;1;0,5;R;100;10
Buey semi graso;160;-;-;-;R;100;13
Cabrito;127;19,2;17;0,7;R;100;7
Cerdo carne magra;146;19,9;6,8;0;B;100;8
Cerdo carne grasa;398;14,5;37,3;0;B;100;8
Ciervo;120;20,3;3,7;0,6;B;100;6
Codorniz;162;25;6,8;0;B;100;6
Conejo;102-138;21,2;6,6;0;B;100;12
Cordero Lechal;105;21;2,4;0;R;100;8
Cordero (Pierna);98;17,1;3,3;0;R;100;7
Faisán;144;24,3;5,2;0;R;100;10
Hígado de cerdo;141;22,8;4,8;1,5;R;100;5
Higado de vacuno;129;21;4,4;0,9;R;100;5
Jabalí;107;21;2;0,4;B;100;6
Lacón;361;19,2;31,6;0;B;100;7
Liebre;126;22,8;3,2;0;B;100;7
Pato;288;15,9;24,9;0;R;100;7
Pavo pechuga;134;22;4,9;0,4;B;100;8
Pavo muslo;186;20,9;11,2;0,4;B;100;10
Perdiz;120;25;1,4;0,5;B;100;9
Pollo muslo;130;19,6;5,7;0;B;100;7
Pollo pechuga;108;22,4;2,1;0;B;100;7
Almeja;73;10,2;2,5;2,2;B;100;11
Anguila;264;11,8;23,7;0,1;B;100;11
Arenque;174;17,7;11,5;0;B;100;11
Atún fresco;158;21,5;8;0;B;100;4
Bacalao;122;29;0,7;0;B;100;5
Boquerón;96;16,8;2,6;1,5;B;100;6
Caballa;170;17;11,1;0;B;100;6
Calamar;68;12,6;1,7;0,7;B;100;13
Dorada;80;19,8;1,2;0;B;100;10
Gallo;78;16,2;0,9;1,2;B;100;10
Gamba;65;13,6;0,6;2,9;B;100;11
Langosta;88;16,2;1,9;1;B;100;13
Lenguado;82;16,9;1,7;0,8;B;100;12
Lubina;82;16,6;1,5;0,6;B;100;12
Lucio;81;18;0,6;0;B;100;11
Mejillones;66;11,7;2,7;3,4;B;100;15
Merluza;71;17;0,3;0;B;100;10
Mero;80;17,9;0,7;0,6;B;100;11
Pez espada;109;16,9;4,2;1;B;100;15
Pulpo;57;10,6;1;1,4;B;100;15
Rodaballo;81;16,3;1,3;1,2;B;100;10
Salmón;176;18,4;12;0;B;100;15
Salmonete;123;15,8;6,2;1,1;B;100;15
Sardina;124;15;4,4;1;B;100;6
Sepia;73;14;1,5;0,7;B;100;7
Trucha;96;-;-;-;B;100;15
